ID,Data_base_Source,Continent,Country,Y,X,Eco_Name,BIOME_NAME,Biome,NNH_NAME,Coastal,Operating,Count,Combined,Mammals,Reptiles,Birds,Amphibians
191,Gunters_Space_Page,Europe,UK,60.81741479,-0.762731271,North Atlantic moist mixed forests,Temperate Broadleaf & Mixed Forests,TBMF,Nature Could Recover,Coastal,Operating,1,NA,NA,NA,NA,NA
226,Gunters_Space_Page,Europe,USSR / Russia,51.87142659,128.3542666,Manchurian mixed forests,Temperate Broadleaf & Mixed Forests,TBMF,Nature Could Recover,Inner,Operating,1,2,1,0,4,0
12,Wikipedia,Asia,China,28.24646,102.02814,Hengduan Mountains subalpine conifer forests,Temperate Conifer Forests,TCF,Nature Could Recover,Inner,Operating,1,4,5,1,2,3
38,Wikipedia,Asia,Pakistan,33.3961,73.29608,Western Himalayan subalpine conifer forests,Temperate Conifer Forests,TCF,Nature Imperiled,Inner,Operating,1,4,1,5,5,0
57,Wikipedia,Europe,Norway,69.2943,16.0207,Scandinavian coastal conifer forests,Temperate Conifer Forests,TCF,Nature Could Recover,Coastal,Operating,1,2,1,0,3,0
151,Gunters_Space_Page,Asia,China,38.749444,105.588611,Helanshan montane conifer forests,Temperate Conifer Forests,TCF,Nature Could Recover,Inner,Operating,1,1,1,0,1,0
152,Gunters_Space_Page,Asia,China,19.530278,109.12375,Helanshan montane conifer forests,Temperate Conifer Forests,TCF,Nature Could Recover,Inner,Operating,1,5,4,5,6,3
202,Gunters_Space_Page,North America,USA,35.44914764,-108.5988453,Arizona Mountains forests,Temperate Conifer Forests,TCF,Nature Imperiled,Inner,Operating,1,2,1,0,2,1
11,Wikipedia,Asia,China,38.8490861,111.6084972,Mongolian-Manchurian grassland,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Could Recover,Inner,Operating,1,1,1,1,1,0
43,Wikipedia,Asia,Russia,51.20706,59.85003,Kazakh forest steppe,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Inner,Operating,1,2,1,0,4,0
64,Wikipedia,Europe,Russia,48.57807,46.2542,Pontic steppe,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Inner,Operating,1,2,2,0,3,0
87,Wikipedia,North America,United States,37.84621,-75.47938,Mid-Atlantic US coastal savannas,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Coastal,Operating,1,3,2,5,3,0
91,Wikipedia,North America,United States,28.46675,-80.55852,Southeast US conifer savannas,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Coastal,Operating,1,3,1,5,2,1
97,Wikipedia,North America,United States,37.833378,-75.483284,Mid-Atlantic US coastal savannas,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Coastal,Operating,1,3,2,5,3,0
111,Wikipedia,South America,Argentina,-35.523889,-57.183889,Humid Pampas,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Coastal,Operating,1,4,1,4,4,0
112,Wikipedia,South America,Argentina,-38.9628,-61.715,Humid Pampas,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Coastal,Operating,1,2,0,4,3,0
127,Wikipedia,Oceania,New Zealand,-43.817,172.683,Canterbury-Otago tussock grasslands,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Could Recover,Coastal,Operating,1,4,1,5,3,0
194,Gunters_Space_Page,North America,USA,29.67728746,-85.34582108,Southeast US conifer savannas,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Coastal,Operating,1,3,2,5,2,2
198,Gunters_Space_Page,North America,USA,32.07306016,-106.1527388,Southeast US conifer savannas,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Coastal,Operating,1,2,1,1,2,1
210,Gunters_Space_Page,North America,USA,31.38811997,-97.46896942,Cross-Timbers savanna-woodland,"Temperate Grasslands, Savannas & Shrublands",TGSS,Nature Imperiled,Inner,Operating,1,2,1,1,3,1
